,train_losses,val_losses,val_acc
0,0.7227145468138836,1.1832377195358277,0.6654
1,0.6665973488918759,1.2411185458302498,0.661
2,0.6579971082339232,1.2745043620467187,0.6462
3,0.6570325935767456,1.1805954203009605,0.673
4,0.6468103807419538,1.2015421941876412,0.6624
5,0.6362040973353115,1.2063142359256744,0.6686
6,0.6453124847771092,1.1690500885248185,0.675
7,0.6538584175604311,1.2235171779990197,0.6688
8,0.6639463368972595,1.4375112503767014,0.6192
9,0.6894805154509165,1.4368088454008103,0.605
10,0.7255562043494799,1.425914153456688,0.6078
11,0.7795806472105059,1.421854367852211,0.6098
12,0.8157085881314494,1.6905560165643692,0.5602
13,0.8531979220834646,1.5890034943819047,0.5664
14,0.8894312054934826,1.5925398722290993,0.579
15,0.9220191758464683,1.4766097381711005,0.6034
16,0.9345683949914846,1.7965161114931107,0.5488
17,0.9405522581867196,1.811256194114685,0.5418
18,0.9517214531925592,1.5904824912548066,0.5774
19,0.9367941463874145,1.5479658916592598,0.5748
20,0.9349934792315419,1.795358482003212,0.5468
21,0.9345600757409226,1.8297780990600585,0.5376
22,0.9367209483276714,1.8296483874320983,0.5436
23,0.9168464673513715,1.5347039997577667,0.5986
24,0.9106964489275758,1.9232815772294998,0.5384
25,0.8993945258923552,1.4701419547200203,0.6124
26,0.8986378721892834,1.797818696498871,0.5402
27,0.8925715801729397,1.72723149061203,0.5578
28,0.8861507438123226,1.6803295940160752,0.5872
29,0.8859576833519068,1.6906241446733474,0.5584
30,0.5317286940460856,1.1027370885014534,0.701
31,0.4486360942775553,1.1774726077914237,0.69
32,0.45562078515914356,1.2886547133326531,0.67
33,0.47267282313921233,1.340759514272213,0.6498
34,0.4893393378535455,1.3678062170743943,0.656
35,0.5058488762006164,1.2799611896276475,0.6688
36,0.4917667094110088,1.2880575403571128,0.6608
37,0.488108182918619,1.4849766671657563,0.6176
38,0.48276728814975783,1.4288107812404633,0.6434
39,0.49606227315962315,1.311902689933777,0.6606
40,0.46584358396516606,1.4339297115802765,0.6372
41,0.47752951771359553,1.3334210082888602,0.6634
42,0.4726857163689353,1.3474697798490525,0.6634
43,0.46728651818226685,1.2680939093232155,0.6598
44,0.459864464122802,1.628116723895073,0.6096
45,0.4630106147378683,1.4345207899808883,0.6548
46,0.45149217888882215,1.5817541569471358,0.62
47,0.4446570159528743,1.3999206855893136,0.6462
48,0.44463922726837074,1.5001744985580445,0.6324
49,0.4368205945092169,1.4787826746702195,0.6406
50,0.4453203562985767,1.2780450254678726,0.6656
